PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
81,0.40336,0.0386,0.068208,0.00590206,0.267677,480,0.24338,0.33164,,4.86218,1.30149,56.1905
82,0.510637,0.0386,0.109742,0.00590206,0.430674,480,0.24338,0.33164,,3.02199,1.30149,56.1905
83,0.293297,0.0386,0.0684733,0.00590206,0.268718,480,0.24338,0.33164,,4.84334,1.30149,56.1905
84,0.0715252,0.0386,0.0161772,0.00590206,0.0634861,480,0.24338,0.33164,,20.5004,1.30149,56.1905
85,0.306951,0.0386,0.0154468,0.00590206,0.0606197,480,0.24338,0.33164,,21.4698,1.30149,56.1905
86,0.26314,0.0386,0.0368746,0.00590206,0.144712,480,0.24338,0.33164,,8.9937,1.30149,56.1905
87,0.659919,0.0386,0.0460576,0.00590206,0.180749,480,0.24338,0.33164,,7.20054,1.30149,56.1905
88,0.203166,0.0386,0.0544953,0.00590206,0.213862,480,0.24338,0.33164,,6.08566,1.30149,56.1905
89,0.370316,0.0386,0.0688918,0.00590206,0.27036,480,0.24338,0.33164,,4.81392,1.30149,56.1905
90,0.243093,0.0386,0.0179103,0.00590206,0.0702875,480,0.24338,0.33164,,18.5167,1.30149,56.1905
91,0.327092,0.0386,0.0497779,0.00590206,0.19535,480,0.24338,0.33164,,6.66238,1.30149,56.1905
92,0.296735,0.0386,0.00731518,0.00590206,0.0287078,480,0.24338,0.33164,,45.3358,1.30149,56.1905
93,0.20929,0.0386,0.0168337,0.00590206,0.0660626,480,0.24338,0.33164,,19.7009,1.30149,56.1905
94,0.104135,0.0386,0.0313243,0.00590206,0.12293,480,0.24338,0.33164,,10.5873,1.30149,56.1905
95,0.267721,0.0386,0.0363645,0.00590206,0.14271,480,0.24338,0.33164,,9.11987,1.30149,56.1905
96,0.257171,0.0386,0.073149,0.00590206,0.287067,480,0.24338,0.33164,,4.53376,1.30149,56.1905
97,0.474574,0.0386,0.0407289,0.00590206,0.159837,480,0.24338,0.33164,,8.14261,1.30149,56.1905
98,0.54771,0.0386,0.0420814,0.00590206,0.165145,480,0.24338,0.33164,,7.8809,1.30149,56.1905
99,0.0495495,0.0386,0.0340516,0.00590206,0.133633,480,0.24338,0.33164,,9.73933,1.30149,56.1905
100,0.280808,0.0386,0.0105131,0.00590206,0.0412577,480,0.24338,0.33164,,31.5455,1.30149,56.1905
101,0.15385,0.0386,0.167839,0.00590206,0.65867,480,0.24338,0.33164,,1.97594,1.30149,56.1905
102,0.17281,0.0386,0.0925673,0.00590206,0.363273,480,0.24338,0.33164,,3.58269,1.30149,56.1905
103,0.064266,0.0386,0.0264152,0.00590206,0.103664,480,0.24338,0.33164,,12.5549,1.30149,56.1905
104,0.3126,0.0386,0.0474131,0.00590206,0.186069,480,0.24338,0.33164,,6.99468,1.30149,56.1905
105,0.189099,0.0386,0.0529939,0.00590206,0.20797,480,0.24338,0.33164,,6.25807,1.30149,56.1905
106,0.28929,0.0386,0.195075,0.00590206,0.765555,480,0.24338,0.33164,,1.70006,1.30149,56.1905
107,0.322524,0.0386,0.0238459,0.00590206,0.0935812,480,0.24338,0.33164,,13.9076,1.30149,56.1905
108,0.198299,0.0386,0.00960054,0.00590206,0.0376765,480,0.24338,0.33164,,34.5439,1.30149,56.1905
109,0.109751,0.0386,0.0567194,0.00590206,0.222591,480,0.24338,0.33164,,5.84702,1.30149,56.1905
110,0.079172,0.0386,0.0269646,0.00590206,0.10582,480,0.24338,0.33164,,12.2991,1.30149,56.1905
111,0.20383,0.0386,0.01871,0.00590206,0.073426,480,0.24338,0.33164,,17.7252,1.30149,56.1905
112,0.314139,0.0386,0.0118025,0.00590206,0.0463178,480,0.24338,0.33164,,28.0992,1.30149,56.1905
113,0.817524,0.0386,0.0108546,0.00590206,0.0425978,480,0.24338,0.33164,,30.553,1.30149,56.1905
114,0.553022,0.0386,0.0335124,0.00590206,0.131517,480,0.24338,0.33164,,9.89604,1.30149,56.1905
115,0.390128,0.0386,0.0266573,0.00590206,0.104614,480,0.24338,0.33164,,12.4409,1.30149,56.1905
116,0.285591,0.0386,0.122713,0.00590206,0.481579,480,0.24338,0.33164,,2.70256,1.30149,56.1905
117,0.374375,0.0386,0.0224964,0.00590206,0.0882855,480,0.24338,0.33164,,14.7419,1.30149,56.1905
118,0.204138,0.0386,0.0298524,0.00590206,0.117153,480,0.24338,0.33164,,11.1093,1.30149,56.1905
119,0.175783,0.0386,0.0333431,0.00590206,0.130852,480,0.24338,0.33164,,9.94628,1.30149,56.1905
120,0.417566,0.0386,0.105341,0.00590206,0.413401,480,0.24338,0.33164,,3.14826,1.30149,56.1905
