PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
307,0.308027,0.0386,0.040606,0.00558183,0.166455,480,0,0.392057,9.65514,1.60714,70.2381
308,0.795439,0.0386,0.0429257,0.00558183,0.175963,480,0,0.392057,9.13339,1.60714,70.2381
309,0.338261,0.0386,0.024489,0.00558183,0.100387,480,0,0.392057,16.0095,1.60714,70.2381
310,0.347464,0.0386,0.0251267,0.00558183,0.103001,480,0,0.392057,15.6032,1.60714,70.2381
311,0.415207,0.0386,0.0101583,0.00558183,0.0416414,480,0,0.392057,38.5948,1.60714,70.2381
312,0.326273,0.0386,0.0456228,0.00558183,0.18702,480,0,0.392057,8.59345,1.60714,70.2381
313,0.374398,0.0386,0.00938178,0.00558183,0.0384584,480,0,0.392057,41.7892,1.60714,70.2381
314,0.175851,0.0386,0.0139364,0.00558183,0.0571291,480,0,0.392057,28.1318,1.60714,70.2381
315,0.119683,0.0386,0.131621,0.00558183,0.539549,480,0,0.392057,2.97868,1.60714,70.2381
316,0.198521,0.0386,0.0032133,0.00558183,0.0131722,480,0,0.392057,122.011,1.60714,70.2381
317,0.23244,0.0386,0.0363208,0.00558183,0.148888,480,0,0.392057,10.7943,1.60714,70.2381
318,0.238254,0.0386,0.0341186,0.00558183,0.139861,480,0,0.392057,11.491,1.60714,70.2381
319,0.269069,0.0386,0.0168432,0.00558183,0.0690445,480,0,0.392057,23.2769,1.60714,70.2381
320,0.0661056,0.0386,0.0518737,0.00558183,0.212644,480,0,0.392057,7.55791,1.60714,70.2381
321,0.548404,0.0386,0.229056,0.00558183,0.93896,480,0,0.392057,1.71162,1.60714,70.2381
322,0.205948,0.0386,0.0370898,0.00558183,0.152041,480,0,0.392057,10.5705,1.60714,70.2381
323,0.689498,0.0386,0.137981,0.00558183,0.565621,480,0,0.392057,2.84138,1.60714,70.2381
324,0.358973,0.0386,0.0089921,0.00558183,0.0368609,480,0,0.392057,43.6002,1.60714,70.2381
325,0.517557,0.0386,0.0772827,0.00558183,0.316802,480,0,0.392057,5.07302,1.60714,70.2381
326,0.16606,0.0386,0.0226349,0.00558183,0.0927862,480,0,0.392057,17.3209,1.60714,70.2381
327,0.0823444,0.0386,0.116755,0.00558183,0.478608,480,0,0.392057,3.35795,1.60714,70.2381
328,0.368245,0.0386,0.0405994,0.00558183,0.166428,480,0,0.392057,9.65671,1.60714,70.2381
329,0.0595738,0.0386,0.0112983,0.00558183,0.0463146,480,0,0.392057,34.7005,1.60714,70.2381
330,0.284275,0.0386,0.0361392,0.00558183,0.148144,480,0,0.392057,10.8485,1.60714,70.2381
331,0.436979,0.0386,0.0760806,0.00558183,0.311874,480,0,0.392057,5.15317,1.60714,70.2381
332,0.0766038,0.0386,0.0174428,0.00558183,0.0715026,480,0,0.392057,22.4767,1.60714,70.2381
