PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
116,0.230076,0.0386,0.0476978,0.00634218,0.187186,360,0.24338,0.267278,5.60356,1.04891,42.1429
117,0.194288,0.0386,0.0599269,0.00634218,0.235178,360,0.24338,0.267278,4.46006,1.04891,42.1429
118,0.131615,0.0386,0.149801,0.00634218,0.587881,360,0.24338,0.267278,1.78422,1.04891,42.1429
119,0.0631201,0.0386,0.00912864,0.00634218,0.0358246,360,0.24338,0.267278,29.279,1.04891,42.1429
120,0.0862609,0.0386,0.0114005,0.00634218,0.0447405,360,0.24338,0.267278,23.4443,1.04891,42.1429
121,0.314509,0.0386,0.165844,0.00634218,0.650841,360,0.24338,0.267278,1.61162,1.04891,42.1429
122,0.122631,0.0386,0.059171,0.00634218,0.232212,360,0.24338,0.267278,4.51704,1.04891,42.1429
123,0.147377,0.0386,0.0471139,0.00634218,0.184895,360,0.24338,0.267278,5.67301,1.04891,42.1429
124,0.213771,0.0386,0.0576004,0.00634218,0.226048,360,0.24338,0.267278,4.6402,1.04891,42.1429
125,0.0471896,0.0386,0.031685,0.00634218,0.124345,360,0.24338,0.267278,8.43546,1.04891,42.1429
126,0.267875,0.0386,0.0171777,0.00634218,0.0674125,360,0.24338,0.267278,15.5596,1.04891,42.1429
127,0.0752733,0.0386,0.0117787,0.00634218,0.0462244,360,0.24338,0.267278,22.6917,1.04891,42.1429
128,0.549946,0.0386,0.00463966,0.00634218,0.018208,360,0.24338,0.267278,57.6071,1.04891,42.1429
129,0.52874,0.0386,0.0240588,0.00634218,0.0944168,360,0.24338,0.267278,11.1094,1.04891,42.1429
130,0.472045,0.0386,0.00195206,0.00634218,0.00766068,360,0.24338,0.267278,136.921,1.04891,42.1429
131,0.113071,0.0386,0.00779199,0.00634218,0.030579,360,0.24338,0.267278,34.3016,1.04891,42.1429
132,0.200822,0.0386,0.023213,0.00634218,0.0910974,360,0.24338,0.267278,11.5142,1.04891,42.1429
133,0.0797715,0.0386,0.0104442,0.00634218,0.0409873,360,0.24338,0.267278,25.5911,1.04891,42.1429
134,0.351723,0.0386,0.00765386,0.00634218,0.0300369,360,0.24338,0.267278,34.9206,1.04891,42.1429
135,0.610285,0.0386,0.150536,0.00634218,0.590767,360,0.24338,0.267278,1.7755,1.04891,42.1429
136,0.267372,0.0386,0.0296142,0.00634218,0.116218,360,0.24338,0.267278,9.02532,1.04891,42.1429
137,0.116715,0.0386,0.305227,0.00634218,1.19784,360,0.24338,0.267278,0.875668,1.04891,42.1429
138,0.117385,0.0386,0.0344795,0.00634218,0.135312,360,0.24338,0.267278,7.75177,1.04891,42.1429
139,0.0763119,0.0386,0.0418377,0.00634218,0.164189,360,0.24338,0.267278,6.38844,1.04891,42.1429
140,0.414891,0.0386,0.247455,0.00634218,0.971117,360,0.24338,0.267278,1.08011,1.04891,42.1429
141,0.264686,0.0386,0.0308527,0.00634218,0.121079,360,0.24338,0.267278,8.66303,1.04891,42.1429
142,0.301205,0.0386,0.115097,0.00634218,0.451688,360,0.24338,0.267278,2.3222,1.04891,42.1429
143,0.532737,0.0386,0.00811822,0.00634218,0.0318593,360,0.24338,0.267278,32.9231,1.04891,42.1429
